brand_name,name,processor_type,processor_brand,generations,ram,storage_capacity_gb,have_ssd,have_hdd,graphics_capacity,price,display_size_inch,display_type,color,brand_name_encoded,processor_type_encoded,processor_brand_encoded,generations_encoded,display_type_encoded,color_encoded,storage_type,storage_type_encoded,is_gaming,price_category,Hierarchical,DBSCAN_Original,DBSCAN_UMAP,DBSCAN_PCA
lenovo,Lenovo IdeaPad D330 10IGL Intel CDC N4020 4GB RAM 128GB eMMC 10.1 Inch HD IPS Touch Display Mineral Grey Laptop<br> Product Id: 33.01.200.965,Intel Celeron,Intel,Not Applicable,4,128,False,True,0,34500,10.1,HD,Mineral Grey,10,8,2,4,8,41,HDD,0,0,0,4,3,0,0
hp,HP 15s-eq1578AU AMD Athlon Silver 3050U 8GB  256GB SSD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.01.020.1490,AMD Athlon,AMD,Not Applicable,8,256,True,False,0,46500,15.6,FHD,Silver,7,0,0,4,3,67,SSD,1,0,0,1,0,1,1
acer,"Acer Aspire 3 A315-510P-38RH (13th Gen Standard) Intel Core i3 N305 8GB RAM, 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.1029",Intel Core i3,Intel,13th,8,512,True,False,0,49800,15.6,FHD,Pure Silver,0,10,2,3,3,60,SSD,1,0,0,4,1,2,0
lenovo,Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop<br> Product Id: 33.01.200.1009,AMD Ryzen 3,AMD,Not Applicable,8,512,True,False,0,49900,15.6,FHD,Cloud Grey,10,1,0,4,3,16,SSD,1,0,0,1,0,1,1
lenovo,Lenovo IdeaPad Slim 3i 15ITL 11th Gen Intel Core i3 1115G4 4GB RAM 256GB SSD 15.6 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.1036,Intel Core i3,Intel,11th,4,256,True,False,0,51400,15.6,FHD,Arctic Grey,10,10,2,1,3,3,SSD,1,0,0,4,1,3,0
acer,Acer Aspire 3 A315-24P AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop#UN.KDESI.027<br> Product Id: 33.01.002.1035,AMD Ryzen 3,AMD,Not Applicable,8,512,True,False,0,53000,15.6,FHD,Pure Silver,0,1,0,4,3,60,SSD,1,0,0,1,0,1,1
lenovo,Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Sand Laptop<br> Product Id: 33.01.200.1093,AMD Ryzen 3,AMD,Not Applicable,8,512,True,False,0,53400,15.6,FHD,Sand,10,1,0,4,3,63,SSD,1,0,0,1,0,1,1
hp,HP 15s-fq5486TU Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Black Laptop<br> Product Id: 33.01.020.1464,Intel Core i3,Intel,12th,4,256,True,False,0,56500,15.6,FHD,Black,7,10,2,2,3,9,SSD,1,0,0,4,1,2,0
acer,Acer Aspire 3 A315-59-390P Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.996,Intel Core i3,Intel,12th,8,512,True,False,0,57000,15.6,FHD,Pure Silver,0,10,2,2,3,60,SSD,1,0,0,4,1,2,0
acer,"Acer Aspire 3 A315-59-332B Intel Core i3 1215U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop #NX.K6TSI.00H/UN.K6TSI.024<br> Product Id: 33.01.002.1030",Intel Core i3,Intel,12th,8,512,True,False,0,57500,15.6,FHD,Pure Silver,0,10,2,2,3,60,SSD,1,0,0,4,1,2,0
huawei,Huawei MateBook D 15 Intel Core i3 1115G4 8GB RAM 256GB SSD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.03.487.06,Intel Core i3,Intel,11th,8,256,True,False,0,60500,15.6,FHD,Silver,8,10,2,1,3,67,SSD,1,0,0,4,1,3,0
dell,Dell Inspiron 15 3520 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Silver Laptop<br> Product Id: 33.01.013.1625,Intel Core i3,Intel,12th,8,512,True,False,0,60500,15.6,FHD,Platinum Silver,5,10,2,2,3,58,SSD,1,0,0,4,1,2,0
acer,Acer Aspire Lite AL15-41 AMD Ryzen 5 5500U 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop<br> Product Id: 33.01.002.1021,AMD Ryzen 5,AMD,Not Applicable,8,512,True,False,0,61000,15.6,FHD,Titanium Gray,0,2,0,4,3,84,SSD,1,0,0,1,0,1,1
acer,Acer Aspire 5 5P-A515-58P Intel Core i3 1305U 8GB RAM 512GB SSD 15.6 Inch FHD Display Steel Gray Laptop<br> Product Id: 33.01.002.999,Intel Core i3,Intel,13th,8,512,True,False,0,61500,15.6,FHD,Steel Gray,0,10,2,3,3,77,SSD,1,0,0,4,1,2,0
acer,Acer Aspire Lite AL15-51 Intel Core i5 1155G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop<br> Product Id: 33.01.002.1020,Intel Core i5,Intel,11th,8,512,True,False,0,61500,15.6,FHD,Titanium Gray,0,11,2,1,3,84,SSD,1,0,0,4,1,2,0
asus,Asus VivoBook 15 X1500EA Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD WV Display Indie Black Laptop<br> Product Id: 33.01.006.1628,Intel Core i3,Intel,11th,8,1024,False,True,0,62800,15.6,FHD WV,Indie Black,2,10,2,1,7,31,HDD,0,0,0,4,3,1,0
hp,HP 15s-fq5786TU Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.01.020.1465,Intel Core i3,Intel,12th,8,512,True,False,0,63500,15.6,FHD,Silver,7,10,2,2,3,67,SSD,1,0,0,4,1,2,0
asus,Asus VivoBook 15 X1502ZA Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Terra Cotta Laptop<br> Product Id: 33.01.006.1718,Intel Core i3,Intel,12th,4,256,True,False,0,63900,15.6,FHD,Terra Cotta,2,10,2,2,3,82,SSD,1,0,0,4,1,2,0
asus,Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Peacock Blue Laptop<br> Product Id: 33.01.006.1660,Intel Core i5,Intel,11th,4,1024,False,True,0,68500,15.6,FHD,Peacock Blue,2,11,2,1,3,51,HDD,0,0,0,4,3,1,0
asus,Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop #EJ2460W-X515EA<br> Product Id: 33.01.006.1661,Intel Core i5,Intel,11th,4,1024,False,True,0,68500,15.6,FHD,Slate Grey,2,11,2,1,3,68,HDD,0,0,0,4,3,1,0
acer,Acer Aspire 3 A315-59-5031 Intel Core i5 1235U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.1000,Intel Core i5,Intel,12th,8,512,True,False,0,71500,15.6,FHD,Pure Silver,0,11,2,2,3,60,SSD,1,0,0,4,1,2,0
dell,Dell Latitude 15-3520 Intel Core i5 1135G7 8GB RAM 256GB SSD 15.6 Inch HD Display Black Laptop<br> Product Id: 33.01.013.1657,Intel Core i5,Intel,11th,8,256,True,False,0,73500,15.6,HD,Black,5,11,2,1,8,9,SSD,1,0,0,4,1,2,0
huawei,Huawei MateBook D 15 Intel Core i5 1135G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.03.487.04,Intel Core i5,Intel,11th,8,512,True,False,0,76000,15.6,FHD,Silver,8,11,2,1,3,67,SSD,1,0,0,4,1,3,0
huawei,Huawei MateBook B3-520 Intel Core i5 1135G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Space Gray Laptop<br> Product Id: 33.03.487.09,Intel Core i5,Intel,11th,8,512,True,False,0,76000,15.6,FHD,Space Gray,8,11,2,1,3,71,SSD,1,0,0,4,1,3,0
acer,"Acer Swift Go 14 SFG14-41-R5RB AMD Ryzen 5 7530U 8GB RAM, 512GB SSD 14 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.1024",AMD Ryzen 5,AMD,Not Applicable,8,512,True,False,0,77000,14.0,FHD,Pure Silver,0,2,0,4,3,60,SSD,1,0,0,1,0,1,1
acer,Acer TravelMate P214-53-72WA Intel Core i7 1165G7 8GB RAM 512GB SSD 14 Inch FHD Display Shale Black Laptop<br> Product Id: 33.01.002.966,Intel Core i7,Intel,11th,8,512,True,False,0,82500,14.0,FHD,Shale Black,0,12,2,1,3,66,SSD,1,0,0,4,1,4,0
lenovo,Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 7 7730U 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare IPS Display Arctic Grey Laptop<br> Product Id: 33.01.200.1090,AMD Ryzen 7,AMD,Not Applicable,8,512,True,False,0,83000,15.6,FHD IPS,Arctic Grey,10,3,0,4,4,3,SSD,1,0,0,1,0,1,1
lenovo,Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare Display Arctic Grey Laptop #82H803EUIN-2Y<br> Product Id: 33.01.200.1087,Intel Core i7,Intel,11th,8,512,True,False,0,88000,15.6,FHD,Arctic Grey,10,12,2,1,3,3,SSD,1,0,0,4,1,3,0
dell,Dell Inspiron 15 3525 AMD Ryzen 7 5825U 8GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Silver Laptop<br> Product Id: 33.01.013.1633,AMD Ryzen 7,AMD,Not Applicable,8,512,True,False,0,88500,15.6,FHD,Platinum Silver,5,3,0,4,3,58,SSD,1,0,0,1,0,1,1
msi,MSI Modern 15 A11MU Intel Core i7 1195G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Carbon Gray Laptop<br> Product Id: 33.01.033.1245,Intel Core i7,Intel,11th,8,512,True,False,0,89500,15.6,FHD,Carbon Gray,12,12,2,1,3,12,SSD,1,0,0,4,1,3,0
msi,MSI Modern 14 C11M Intel Core i7 1195G7 8GB RAM 512GB SSD 14 Inch FHD Display Classic Black Laptop<br> Product Id: 33.01.033.1255,Intel Core i7,Intel,11th,8,512,True,False,0,95000,14.0,FHD,Classic Black,12,12,2,1,3,15,SSD,1,0,0,4,1,5,0
lenovo,Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare LED Display Abyss Blue Laptop<br> Product Id: 33.01.200.1055,Intel Core i7,Intel,11th,8,512,True,False,0,95500,15.6,FHD,Abyss Blue,10,12,2,1,3,0,SSD,1,0,0,4,1,3,0
acer,"Acer Aspire 5 5M-A515-58GM Intel Core i5 1335U 16GB RAM, 512GB SSD 15.6 Inch FHD IPS Display Steel Gray Gaming Laptop<br> Product Id: 33.02.002.1036",Intel Core i5,Intel,13th,16,512,True,False,4,99500,15.6,FHD IPS,Steel Gray,0,11,2,3,4,77,SSD,1,1,0,3,2,0,2
acer,"Acer Swift Go 14 SFG14-71-557P Intel Core i5 13500H 16GB RAM, 512GB SSD 14 Inch 2.8K OLED WQHD Display Sunshiny Gold Laptop<br> Product Id: 33.01.002.1025",Intel Core i5,Intel,13th,16,512,True,False,0,119000,14.0,OLED WQHD,Sunshiny Gold,0,11,2,3,11,80,SSD,1,0,0,2,1,6,1
gigabyte,Gigabyte Gaming G5 KE Intel Core i5 12500H 8GB RAM 512GB SSD 15.6 Inch FHD Display Matte Black Gaming Laptop<br> Product Id: 33.02.018.81,Intel Core i5,Intel,12th,8,512,True,False,6,146000,15.6,FHD,Matte Black,6,11,2,2,3,37,SSD,1,1,0,3,2,0,2
lenovo,Lenovo IdeaPad Gaming 3i 15IHU Intel Core i7 11370H 16GB RAM 1TB HDD + 256GB SSD 15.6 Inch FHD Display Shadow Black Gaming Laptop #82K100WFIN-3Y<br> Product Id: 33.02.200.1000,Intel Core i7,Intel,11th,16,1024,True,True,4,118000,15.6,FHD,Shadow Black,10,12,2,1,3,65,SSD,1,1,0,3,2,0,2
chuwi,Chuwi HeroBook Pro Intel CDC N4020 8GB RAM 256GB SSD 14.1 Inch FHD Display Grey Laptop<br> Product Id: 33.01.767.20,Intel Celeron,Intel,Not Applicable,8,256,True,False,0,28800,14.0,FHD,Grey,4,8,2,4,3,28,SSD,1,0,0,4,1,5,0
chuwi,Chuwi GemiBook XPro Intel Core N100 8GB RAM 256GB SSD 14.1 Inch FHD Display Grey Laptop<br> Product Id: 33.01.767.19,Intel Core N100,Intel,12th,8,256,True,False,0,34900,14.0,FHD,Grey,4,9,2,2,3,28,SSD,1,0,0,4,1,4,0
lenovo,Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Display Platinum Grey Laptop<br> Product Id: 33.01.200.1059,Intel Celeron,Intel,Not Applicable,4,1024,False,True,0,35000,15.6,HD,Platinum Grey,10,8,2,4,8,56,HDD,0,0,0,4,3,1,0
chuwi,Chuwi GemiBook Plus Intel Core N100 8GB RAM 256GB SSD 15.6 Inch FHD Display Grey Laptop<br> Product Id: 33.01.767.18,Intel Core N100,Intel,12th,8,256,True,False,0,35900,15.6,FHD,Grey,4,9,2,2,3,28,SSD,1,0,0,4,1,2,0
lenovo,Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Antiglare Display Platinum Grey Laptop<br> Product Id: 33.01.200.963,Intel Celeron,Intel,Not Applicable,4,1024,False,True,0,36000,15.6,HD,Platinum Grey,10,8,2,4,8,56,HDD,0,0,0,4,3,1,0
asus,Asus 15 P1511CMA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Display Slate Grey Laptop (Carry bag not included)<br> Product Id: 33.01.006.1599,Intel Celeron,Intel,Not Applicable,4,1024,False,True,0,37500,15.6,HD,Slate Grey,2,8,2,4,8,68,HDD,0,0,0,4,3,1,1
hp,HP 250 G8 Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Dark Ash Silver Laptop<br> Product Id: 33.01.020.1485,Intel Celeron,Intel,Not Applicable,4,1024,False,True,0,38500,15.6,FHD,Dark Ash Silver,7,8,2,4,3,19,HDD,0,0,0,4,3,1,0
asus,Asus X415KA Intel CDC N4500 4GB RAM 1TB HDD 14 Inch FHD Display Slate Grey Laptop<br> Product Id: 33.01.006.1617,Intel Celeron,Intel,Not Applicable,4,1024,False,True,0,39500,14.0,FHD,Slate Grey,2,8,2,4,3,68,HDD,0,0,0,4,3,1,0
asus,Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Transparent Silver Laptop #BQ675W-X515MA<br> Product Id: 33.01.006.1487,Intel Celeron,Intel,Not Applicable,4,1024,False,True,0,40500,15.6,FHD,Transparent Silver,2,8,2,4,3,85,HDD,0,0,0,4,3,1,0
asus,Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 15.6 Inch FHD Display Transparent Silver Laptop<br> Product Id: 33.01.006.1619,Intel Celeron,Intel,Not Applicable,4,1024,False,True,0,40500,15.6,FHD,Transparent Silver,2,8,2,4,3,85,HDD,0,0,0,4,3,1,0
asus,Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop<br> Product Id: 33.01.006.1618,Intel Celeron,Intel,Not Applicable,4,1024,False,True,0,40500,15.6,FHD,Slate Grey,2,8,2,4,3,68,HDD,0,0,0,4,3,1,0
asus,Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop<br> Product Id: 33.01.006.1434,Intel Celeron,Intel,Not Applicable,4,1024,False,True,0,43500,15.6,FHD,Slate Grey,2,8,2,4,3,68,HDD,0,0,0,4,3,1,0
asus,Asus VivoBook 14 E410MA Intel CDC N4020 4GB RAM 256GB SSD 14 Inch HD Display Blue Laptop<br> Product Id: 33.01.006.1554,Intel Celeron,Intel,Not Applicable,4,256,True,False,0,44000,14.0,HD,Blue,2,8,2,4,8,10,SSD,1,0,0,4,1,6,0
acer,Acer Extensa 15 EX215-54-34SE Intel Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Charcoal Black Laptop<br> Product Id: 33.01.002.958,Intel Core i3,Intel,11th,4,1024,False,True,0,46500,15.6,FHD,Charcoal Black,0,10,2,1,3,14,HDD,0,0,0,4,3,1,0
asus,Asus D415DA AMD Ryzen 3 3250U 4GB RAM 1TB HDD 14 Inch HD Display Slate Grey Laptop<br> Product Id: 33.01.006.1600,AMD Ryzen 3,AMD,Not Applicable,4,1024,False,True,0,46500,14.0,HD,Slate Grey,2,1,0,4,8,68,HDD,0,0,0,4,3,1,1
asus,Asus M515DA AMD Ryzen 3 3250U 4GB RAM 1TB HDD 15.6 Inch HD Display Slate Grey Laptop<br> Product Id: 33.01.006.1620,AMD Ryzen 3,AMD,Not Applicable,4,1024,False,True,0,46500,15.6,HD,Slate Grey,2,1,0,4,8,68,HDD,0,0,0,4,3,1,1
asus,Asus E510MA Intel CDC N4020 4GB RAM 512GB SSD 15.6 Inch FHD Display Star Black Laptop #EJ601W-E510MA<br> Product Id: 33.01.006.1515,Intel Celeron,Intel,Not Applicable,4,512,True,False,0,47000,15.6,FHD,Star Black,2,8,2,4,3,73,SSD,1,0,0,4,1,2,0
asus,"Asus D415DA AMD Ryzen 3 3250U 8GB RAM 1TB HDD 14 Inch HD Display, Slate Grey Laptop<br> Product Id: 33.01.006.1773",AMD Ryzen 3,AMD,Not Applicable,8,1024,False,True,0,47900,14.0,HD,Slate Grey,2,1,0,4,8,68,HDD,0,0,0,4,3,1,1
chuwi,Chuwi MiniBook X 2 in 1 Intel Core N100 12GB RAM 512GB SSD 10.5 Inch FHD+ WUXGA Touch Display Grey Laptop<br> Product Id: 33.01.767.21,Intel Core N100,Intel,12th,12,512,True,False,0,47900,10.5,FHD WUXGA,Grey,4,9,2,2,6,28,SSD,1,0,0,4,1,4,0
asus,Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #EJ1325W-D515DA<br> Product Id: 33.01.006.1506,AMD Ryzen 3,AMD,Not Applicable,4,512,True,False,0,48900,15.6,FHD,Slate Grey,2,1,0,4,3,68,SSD,1,0,0,1,0,1,1
asus,Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #D515DA-EJ1576W<br> Product Id: 33.01.006.1644,AMD Ryzen 3,AMD,Not Applicable,4,512,True,False,0,48900,15.6,FHD,Slate Grey,2,1,0,4,3,68,SSD,1,0,0,1,0,1,1
chuwi,Chuwi UBook X 2 in 1 Intel Core i5 10210Y 8GB RAM 256GB SSD 12 Inch 2K Touch Display Grey Laptop<br> Product Id: 33.01.767.22,Intel Core i5,Intel,10th,8,256,True,False,0,49900,12.0,FHD IPS,Grey,4,11,2,0,4,28,SSD,1,0,0,4,1,4,0
lenovo,Lenovo IdeaPad Slim 3i 15ITL6 Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.1047,Intel Core i3,Intel,11th,4,1024,False,True,0,52900,15.6,FHD,Arctic Grey,10,10,2,1,3,3,HDD,0,0,0,4,3,1,0
lenovo,Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop<br> Product Id: 33.01.200.1092,AMD Ryzen 3,AMD,Not Applicable,8,512,True,False,0,53400,15.6,FHD,Cloud Grey,10,1,0,4,3,16,SSD,1,0,0,1,0,1,1
acer,Acer Aspire 3 A315-510P (13th Gen Standard) Intel Core i3 N305 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.987,Intel Core i3,Intel,13th,8,512,True,False,0,54000,15.6,FHD,Pure Silver,0,10,2,3,3,60,SSD,1,0,0,4,1,2,0
hp,HP 15s-du3611TU Intel Core i3 1125G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Jet Black Laptop<br> Product Id: 33.01.020.1396,Intel Core i3,Intel,11th,4,1024,False,True,0,55500,15.6,FHD,Jet Black,7,10,2,1,3,36,HDD,0,0,0,4,3,1,0
msi,MSI Modern 14 C11M Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Classic Black Laptop#9S7-14J312-242<br> Product Id: 33.01.033.1258,Intel Core i3,Intel,11th,8,512,True,False,0,56000,14.0,FHD,Classic Black,12,10,2,1,3,15,SSD,1,0,0,4,1,5,0
dell,"Dell Inspiron 15 3535 AMD Ryzen 3 7320U 8GB RAM, 256GB SSD 15.6 Inch FHD Display Carbon Black Laptop<br> Product Id: 33.01.013.1669",AMD Ryzen 3,AMD,Not Applicable,8,256,True,False,0,56000,15.6,FHD,Carbon Black,5,1,0,4,3,11,SSD,1,0,0,1,0,1,1
hp,HP 250 G8 Intel Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Ash Silver Laptop<br> Product Id: 33.01.020.1486,Intel Core i3,Intel,11th,4,1024,False,True,0,56500,15.6,FHD,Ash Silver,7,10,2,1,3,5,HDD,0,0,0,4,3,1,0
lenovo,"Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1215U 8GB RAM, 256GB SSD 14 Inch FHD Display Misty Blue Laptop<br> Product Id: 33.01.200.1143",Intel Core i3,Intel,12th,8,256,True,False,0,56500,14.0,FHD,Misty Blue,10,10,2,2,3,42,SSD,1,0,0,4,1,5,0
lenovo,Lenovo IdeaPad Slim 3i 14ITL Intel Core i3 1115G4 8GB RAM 256GB SSD 14 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.986,Intel Core i3,Intel,11th,8,256,True,False,0,56900,14.0,FHD,Arctic Grey,10,10,2,1,3,3,SSD,1,0,0,4,1,5,0
asus,Asus ExpertBook P2451FA Intel Core i3 10110U 4GB RAM 1TB HDD 14 Inch FHD Display Star Black Laptop<br> Product Id: 33.01.006.1615,Intel Core i3,Intel,10th,4,1024,False,True,0,57000,14.0,FHD,Star Black,2,10,2,0,3,73,HDD,0,0,0,4,3,1,0
hp,HP 240 G8 Intel Core i3 1115G4 8GB RAM 1TB HDD 14 Inch FHD Display Ash Laptop<br> Product Id: 33.01.020.1424,Intel Core i3,Intel,11th,8,1024,False,True,0,57500,14.0,FHD,Ash,7,10,2,1,3,4,HDD,0,0,0,4,3,1,0
hp,HP 250 G8 Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.01.020.1499,Intel Core i3,Intel,11th,8,1024,False,True,0,57500,15.6,FHD,Silver,7,10,2,1,3,67,HDD,0,0,0,4,3,1,0
lenovo,Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.1107,Intel Core i3,Intel,11th,8,512,True,False,0,57500,15.6,FHD,Arctic Grey,10,10,2,1,3,3,SSD,1,0,0,4,1,3,0
lenovo,Lenovo IdeaPad Slim 3i 14ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.1108,Intel Core i3,Intel,11th,8,512,True,False,0,57500,14.0,FHD,Arctic Grey,10,10,2,1,3,3,SSD,1,0,0,4,1,5,0
hp,HP 255 G8 AMD Ryzen 3 5300U 8GB RAM 1TB HDD 15.6 Inch FHD Display Dark Ash Silver Laptop<br> Product Id: 33.01.020.1527,AMD Ryzen 3,AMD,Not Applicable,8,1024,False,True,0,57500,15.6,FHD,Dark Ash Silver,7,1,0,4,3,19,HDD,0,0,0,4,3,1,1
